angle_deg,mean_power
0.5,0.0003606669304898301
1.5,0.0003021862858141305
2.5,0.0001577087327850608
3.5,0.0002105700794443903
4.5,0.0001334148440859555
5.5,0.00014257265100680021
6.5,0.00017494854292817398
7.5,0.00015391828083784155
8.5,0.00023166257419822742
9.5,0.00014856845573163094
10.5,0.0001523296436733468
11.5,0.00017308554075001208
12.5,0.00012367407516816227
13.5,0.00010555302981190185
14.5,0.00013305225289050534
15.5,0.00012833095788561245
16.5,0.0001228558987339012
17.5,0.00011507083508216815
18.5,0.00015704630783390568
19.5,0.00011882495073261763
20.5,0.00012217486723739844
21.5,0.00014516148019500023
22.5,0.00010971281626130494
23.5,0.00013013733357159277
24.5,0.00010826510490918188
25.5,0.00010757258915843339
26.5,0.00013884780468106052
27.5,0.00010880063730358809
28.5,0.00010853600918123625
29.5,0.0001220803639158787
30.5,0.00013716155538316379
31.5,0.00010307735472965799
32.5,0.00011522380733360817
33.5,0.00012264839091712088
34.5,0.00010566642053230055
35.5,0.00011447558379527508
36.5,0.00014325609550089766
37.5,0.00010959202105600124
38.5,0.00013067156649832073
39.5,0.00012060005577056253
40.5,0.00010641123511872073
41.5,0.00013410595479206706
42.5,0.0001099733544287631
43.5,0.00017886884932012437
44.5,9.550846915393655e-05
45.5,0.00020391835004455924
46.5,0.00016849433182936814
47.5,0.00010919973728630229
48.5,0.00012612366445370453
49.5,0.00010841881878565236
50.5,0.00011449442406257595
51.5,0.00012835891586600304
52.5,0.00010166886607031754
53.5,0.00014256600759422105
54.5,0.00011157289094720654
55.5,0.00010067920631833632
56.5,0.00012351382794563703
57.5,0.00010855664890430488
58.5,9.878199012662613e-05
59.5,0.0001325031093900887
60.5,0.00012193781707252907
61.5,0.0001007693042177795
62.5,9.782941765600448e-05
63.5,0.00014533786953834868
64.5,9.819732019132646e-05
65.5,0.00010001582606535193
66.5,0.00013562441493202208
67.5,0.00010288027283642384
68.5,0.00015462877073180536
69.5,0.00015576650863352825
70.5,0.00012829589931104927
71.5,0.00020691257040627765
72.5,0.00011919093938537392
73.5,0.00015701010758759477
74.5,0.000153490497559079
75.5,0.00013882011737215413
76.5,0.00010556117027844431
77.5,0.00012393681061922024
78.5,0.00021593001570098275
79.5,0.00011503933651477342
80.5,0.0001786724389093433
81.5,0.00017424525672370545
82.5,0.00015679177782380272
83.5,0.0001631821424968173
84.5,0.00016561711074234393
85.5,0.00014751671214730547
86.5,0.00015943031068700586
87.5,0.00020029572509955046
88.5,0.00011477752779502862
89.5,0.0
90.5,0.0003976567835629957
91.5,0.00011295945548489267
92.5,0.00020159166324612332
93.5,0.00015633904271424338
94.5,0.00014948732148435288
95.5,0.00016985932227336597
96.5,0.00018080263769073326
97.5,0.00016435526101548926
98.5,0.00021238128914665067
99.5,0.00018351602927514724
100.5,0.0001386802595098034
101.5,0.0002525514325206286
102.5,0.00013670271424792062
103.5,0.000120026777671282
104.5,0.00015522900884161846
105.5,0.00015664267873610288
106.5,0.0001465696187070958
107.5,0.0001192879019435498
108.5,0.0002187526838304398
109.5,0.00012241819423232587
110.5,0.00014696741342095135
111.5,0.00016449138943877402
112.5,0.00010879719737058985
113.5,0.00015012223561336135
114.5,0.00010889563642218105
115.5,0.00010360286593081504
116.5,0.00016086624949676267
117.5,0.00010480109068001074
118.5,0.0001128655149879597
119.5,0.00013118552602039044
120.5,0.00014803465983046347
121.5,0.00010009469003094586
122.5,0.00011528562061097401
123.5,0.0001338281490276127
124.5,0.00010380227135675138
125.5,0.00011685158855249053
126.5,0.00014855579828758312
127.5,0.00010348447570155024
128.5,0.00012860225523657565
129.5,0.00012016272823607469
130.5,0.00011012025559953746
131.5,0.00012291943234984717
132.5,0.00011151969113033157
133.5,0.000157501367577886
134.5,9.36140353708272e-05
135.5,0.0001978254191432133
136.5,0.000162367856753884
137.5,0.00011561632360729016
138.5,0.00012608074176934903
139.5,0.00011289703105128356
140.5,0.00012589506238429277
141.5,0.0001304562427849837
142.5,0.00011048762786267091
143.5,0.00015303131311315122
144.5,0.0001261433988905992
145.5,0.00011434657496837573
146.5,0.00014170915121319407
147.5,0.00013039542349386874
148.5,0.0001149223239789043
149.5,0.00016121358985975075
150.5,0.00014395110537220816
151.5,0.0001203783095104443
152.5,0.00011746057394666483
153.5,0.00015786999771504759
154.5,0.00011432552655469233
155.5,0.00011294217503093818
156.5,0.0001483556818283396
157.5,0.0001177571978624772
158.5,0.0001609517087624003
159.5,0.00014138242358680754
160.5,0.00013174860955265317
161.5,0.00019408230597822105
162.5,0.0001259222834500427
163.5,0.0001403528366006919
164.5,0.000136541703386852
165.5,0.00013856728927961104
166.5,0.0001095169062819449
167.5,0.00012886129648437503
168.5,0.00018750293678120543
169.5,0.00016974450718991698
170.5,0.00016206605857509794
171.5,0.00027656490506643687
172.5,0.00016903184318723332
173.5,0.00019472348413931626
174.5,0.0001467336106148247
175.5,0.00013537489052213122
176.5,0.00021686436860996966
177.5,0.00016673828227987885
178.5,0.00032309630560685036
179.5,0.0
